Entity,Code,Year,Homicides - sex: Total - age: Total,World regions according to OWID
Afghanistan,AFG,2009,1115,
Afghanistan,AFG,2010,983,
Afghanistan,AFG,2011,1231,
Afghanistan,AFG,2012,1948,
Afghanistan,AFG,2015,3367,
Afghanistan,AFG,2016,2318,
Afghanistan,AFG,2017,2424,
Afghanistan,AFG,2018,2474,
Afghanistan,AFG,2019,2712,
Afghanistan,AFG,2020,2570,
Afghanistan,AFG,2021,1613,
Afghanistan,AFG,2023,,Asia
Africa (UN),,2000,113808.164,
Africa (UN),,2001,116305.69,
Africa (UN),,2002,118711.86,
Africa (UN),,2003,117923.05,
Africa (UN),,2004,118696.56,
Africa (UN),,2005,120417.64,
Africa (UN),,2006,123964.9,
Africa (UN),,2007,125169.48,
Africa (UN),,2008,127859.695,
Africa (UN),,2009,129600.54,
Africa (UN),,2010,131768.9,
Africa (UN),,2011,135919.11,
Africa (UN),,2012,140022.7,
Africa (UN),,2013,143945.64,
Africa (UN),,2014,149187.42,
Africa (UN),,2015,151682.95,
Africa (UN),,2016,155195.48,
Africa (UN),,2017,157470.28,
Africa (UN),,2018,154761.77,
Africa (UN),,2019,154703.11,
Africa (UN),,2020,150938.67,
Africa (UN),,2021,158005,
Africa (UN),,2022,160433.58,
Africa (UN),,2023,158466.88,
Aland Islands,ALA,2023,,Europe
Albania,ALB,1992,130,
Albania,ALB,1993,191,
Albania,ALB,1994,112,
Albania,ALB,1995,259,
Albania,ALB,1996,272,
Albania,ALB,1997,1334,
Albania,ALB,1998,660,
Albania,ALB,1999,532,
Albania,ALB,2000,131,
Albania,ALB,2001,220,
Albania,ALB,2002,216,
Albania,ALB,2003,166,
Albania,ALB,2004,131,
Albania,ALB,2005,154,
Albania,ALB,2006,95,
Albania,ALB,2007,105,
Albania,ALB,2008,93,
Albania,ALB,2009,85,
Albania,ALB,2010,119,
Albania,ALB,2011,142,
Albania,ALB,2012,157,
Albania,ALB,2013,124,
Albania,ALB,2014,134,
Albania,ALB,2015,64,
Albania,ALB,2016,79,
Albania,ALB,2017,58,
Albania,ALB,2018,66,
Albania,ALB,2019,65,
Albania,ALB,2020,61,
Albania,ALB,2021,66,
Albania,ALB,2022,48,
Albania,ALB,2023,39,Europe
Albania,ALB,2024,49,
Algeria,DZA,2006,312,
Algeria,DZA,2007,271,
Algeria,DZA,2008,328,
Algeria,DZA,2009,277,
Algeria,DZA,2010,254,
Algeria,DZA,2011,280,
Algeria,DZA,2012,523,
Algeria,DZA,2013,480,
Algeria,DZA,2014,577,
Algeria,DZA,2015,546,
Algeria,DZA,2016,542,
Algeria,DZA,2017,524,
Algeria,DZA,2018,568,
Algeria,DZA,2019,519,
Algeria,DZA,2020,654,
Algeria,DZA,2021,695,
Algeria,DZA,2022,795,
Algeria,DZA,2023,536,Africa
American Samoa,ASM,2001,1,
American Samoa,ASM,2002,7,
American Samoa,ASM,2003,3,
American Samoa,ASM,2004,4,
American Samoa,ASM,2005,6,
American Samoa,ASM,2006,4,
American Samoa,ASM,2007,1,
American Samoa,ASM,2008,3,
American Samoa,ASM,2009,2,
American Samoa,ASM,2010,5,
American Samoa,ASM,2011,5,
American Samoa,ASM,2012,2,
American Samoa,ASM,2013,3,
American Samoa,ASM,2014,3,
American Samoa,ASM,2015,4,
American Samoa,ASM,2016,0,
American Samoa,ASM,2017,7,
American Samoa,ASM,2018,13,
American Samoa,ASM,2019,0,
American Samoa,ASM,2023,,Oceania
Americas (UN),,2000,130658.055,
Americas (UN),,2001,138736.53,
Americas (UN),,2002,140722.34,
Americas (UN),,2003,140859.69,
Americas (UN),,2004,133445.4,
Americas (UN),,2005,132470.7,
Americas (UN),,2006,136035.64,
Americas (UN),,2007,133848.47,
Americas (UN),,2008,143779.11,
Americas (UN),,2009,151849.66,
Americas (UN),,2010,156118.64,
Americas (UN),,2011,159697.62,
Americas (UN),,2012,162494.4,
Americas (UN),,2013,159181.89,
Americas (UN),,2014,158163.27,
Americas (UN),,2015,156995.56,
Americas (UN),,2016,165575.92,
Americas (UN),,2017,169882.55,
Americas (UN),,2018,164282.45,
Americas (UN),,2019,152801.36,
Americas (UN),,2020,153877.98,
Americas (UN),,2021,156018.62,
Americas (UN),,2022,153969.9,
Americas (UN),,2023,150503.77,
Andorra,AND,2004,1,
Andorra,AND,2007,0,
Andorra,AND,2008,1,
Andorra,AND,2009,0,
Andorra,AND,2010,0,
Andorra,AND,2011,1,
Andorra,AND,2012,0,
Andorra,AND,2013,0,
Andorra,AND,2014,0,
Andorra,AND,2015,0,
Andorra,AND,2020,2,
Andorra,AND,2023,,Europe
Angola,AGO,2011,1055,
Angola,AGO,2012,1217,
Angola,AGO,2015,1254,
Angola,AGO,2016,1196,
Angola,AGO,2023,,Africa
Anguilla,AIA,1990,0,
Anguilla,AIA,1991,1,
Anguilla,AIA,1992,0,
Anguilla,AIA,1993,1,
Anguilla,AIA,1994,0,
Anguilla,AIA,1995,1,
Anguilla,AIA,1996,0,
Anguilla,AIA,1997,1,
Anguilla,AIA,1998,0,
Anguilla,AIA,1999,0,
Anguilla,AIA,2000,1,
Anguilla,AIA,2001,0,
Anguilla,AIA,2002,2,
Anguilla,AIA,2003,2,
